Contractor ID,Contractor Name,Last WED Reported ,Snapshot WED,Company Type,Last Hire Date,Journeypersons,Is Inactive
001395                        ,ARI PRODUCTS INC.,9/28/2025 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance2, SMACNA, Compliance3",11/5/2024 0:00,1,FALSE
000775,Chris Andersen Roofing,6/28/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA, Independent",6/1/2024 0:00,1,FALSE
001237,Ultimate Comfort Control Corp.,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA",2/10/2025 0:00,6,FALSE
001412,MONAGHAN RESTORATION SERVICES,6/28/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Building Trades - No Industry, Compliance, Compliance2, SMACNA, Independent",8/22/2025 0:00,2,FALSE
000982,PAR Sheet Metal,5/31/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, 25 Working in 28, School Hours, Compliance, Compliance2, SMACNA",5/16/2026 0:00,6,FALSE
001353,DOME SHEET METAL,9/21/2025 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance2, SMACNA, Compliance3",7/14/2025 0:00,1,FALSE
001408,S-A-C INSTALLERS,2/22/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance2, SMACNA, Independent, Compliance3",11/7/2022 0:00,1,FALSE
001127,Brothers Sheet Metal,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, 25 Working in 28, School Hours, Compliance, Compliance2, SMACNA",8/18/2025 6:00,10,FALSE
001449,PATWOOD ROOFING,6/14/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance2, Independent, Compliance3",5/1/2025 0:00,1,FALSE
001431,THASSIAN MECHANCIAL CONTRACTING,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA",6/30/2026 7:00,6,FALSE
000865,G P Systems,2/8/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance2, SMACNA, Compliance3",5/9/2025 0:00,1,FALSE
001276,"Epic Mechanical, Inc.",11/2/2025 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance2, SMACNA, Independent, Compliance3",4/15/2025 0:00,1,FALSE
001426,Dynamic Kitchen Installers,5/10/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance2, SMACNA, Compliance3",5/3/2026 0:00,1,FALSE
000931,"ENVIROCON,  L L C",7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2",6/22/2026 0:00,11,FALSE
000872,Environmental Climate Control,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, 25 Working in 28, School Hours, Compliance, Compliance2, SMACNA, Shift Work",6/22/2026 0:00,37,FALSE
000941,"Independent Sheet Metal Co., Inc.",7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2, SMACNA",5/13/2026 0:00,26,FALSE
000726,Advanced Roofing & SM,6/21/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA",5/22/2026 0:00,3,FALSE
001390,Drs Air Balancing Corp.,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, 25 Working in 28, School Hours, Compliance, Compliance2, SMACNA",7/25/2022 0:00,6,FALSE
001433,TNT MATERIALS OF NJ,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA, Independent",1/19/2026 0:00,1,FALSE
000800,"Bonland Industries, Inc.",7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades - No Industry, School Hours, Compliance, Compliance2, Independent",6/22/2026 0:00,55,FALSE
001385,RICHARD SHEET METAL INC,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2, SMACNA, Independent",6/16/2026 0:00,14,FALSE
000746,Air & Specialties Sheet Metal,6/21/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2, SMACNA",1/12/2026 0:00,6,FALSE
000736,Air Power Inc.,5/31/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance2, Independent, Compliance3",2/26/2024 0:00,1,FALSE
000683,F&G Mechanical Corp.,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA",12/8/2025 0:00,2,FALSE
000601,"KF Mechanical, LLC",7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades - No Industry, School Hours, Compliance, Compliance2, Independent",6/2/2026 6:45,39,FALSE
000595,All Ply Roofing,12/28/2025 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance2, SMACNA, Compliance3",5/4/2026 0:00,1,FALSE
006001,KF MECHANICAL LLC MARK REC,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Market Recovery - No Industry, Compliance, Compliance2",7/1/2026 0:00,14,FALSE
001364,Wun-Call LLC,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades - No Industry, Compliance, Compliance2, Independent",1/18/2025 0:00,4,FALSE
000835,D&M Sheet Metal,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, School Hours, Compliance2, SMACNA, Compliance3",12/9/2024 0:00,1,FALSE
000925,Jansons Associates,6/28/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, 25 Working in 28, Compliance, Compliance2, SMACNA",4/6/2026 0:00,2,FALSE
001369,BIG B CONTRACTING INC.,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA, Independent",10/26/2025 0:00,1,FALSE
001397,PREFERRED MECHANICAL INC,7/5/2026 0:00,7/5/2026 0:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2, SMACNA",7/1/2024 0:00,1,FALSE
